Key_category,Key_subcategory,Key,Value,Description,Element
amenity,public service,amenity,post_office,Post office building with postal services,node / area
amenity,public service,amenity,prison,A prison or jail where people are incarcerated before trial or after conviction,node / area
amenity,public service,amenity,ranger_station,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc",node / area
amenity,public service,amenity,townhall,"Building where the administration of a village, town or city may be located, or just a community meeting place",node / area
amenity,facilities,amenity,bbq,"BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood;electric;charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping campfires and firepits, instead use the tag leisure=firepit.",node
amenity,facilities,amenity,bench,A bench to sit down and relax a bit,node
amenity,facilities,amenity,dog_toilet,Area designated for dogs to urinate and excrete.,node / area
amenity,facilities,amenity,dressing_room,Area designated for changing clothes.,node / area
amenity,facilities,amenity,drinking_water,"Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler.",node
amenity,facilities,amenity,give_box,A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.,node / area
amenity,facilities,amenity,lounge,"A comfortable waiting area for customers, usually found in airports and other transportation hubs. Typically has extra amenities or sustenance.",node / area
amenity,facilities,amenity,mailroom,A mailroom for receiving packages or letters.,node / area
amenity,facilities,amenity,parcel_locker,Machine for picking up and sending parcels,node / area
amenity,facilities,amenity,shelter,A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*.,node / area
amenity,facilities,amenity,shower,Public shower.,node / area
amenity,facilities,amenity,telephone,Public telephone,node
amenity,facilities,amenity,toilets,Public toilets (might require a fee),node / area
amenity,facilities,amenity,water_point,Place where you can get large amounts of drinking water,node
amenity,facilities,amenity,watering_place,Place where water is contained and animals can drink,node
amenity,waste management,amenity,sanitary_dump_station,A place for depositing human waste from a toilet holding tank.,node / area
amenity,waste management,amenity,recycling,"Recycling facilities (bottle banks, etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres.",node / area
amenity,waste management,amenity,waste_basket,A single small container for depositing garbage that is easily accessible for pedestrians.,node
amenity,waste management,amenity,waste_disposal,"A medium or large disposal bin, typically for bagged up household or industrial waste.",node
amenity,waste management,amenity,waste_transfer_station,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk.",node / area
amenity,others,amenity,animal_boarding,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)",node / area
amenity,others,amenity,animal_breeding,"A facility where animals are bred, usually to sell them",node / area / relation
amenity,others,amenity,animal_shelter,A shelter that recovers animals in trouble,node / area
amenity,others,amenity,animal_training,A facility used for non-competitive animal training,node / area
amenity,others,amenity,baking_oven,"An oven used for baking bread and similar, for example inside a building=bakehouse.",node
amenity,others,amenity,clock,A public visible clock,node
amenity,others,amenity,crematorium,A place where dead human bodies are burnt,node / area
amenity,others,amenity,dive_centre,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.,node / area
amenity,others,amenity,funeral_hall,"A place for holding a funeral ceremony, other than a place of worship.",node / area
amenity,others,amenity,grave_yard,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead.",node / area
amenity,others,amenity,hunting_stand,A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain,node / area
amenity,others,amenity,internet_cafe,A place whose principal role is providing internet services to the public.,node / area
amenity,others,amenity,kitchen,A public kitchen in a facility to use by everyone or customers,node / area
amenity,others,amenity,kneipp_water_cure,Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.,node / area
amenity,others,amenity,lounger,An object for people to lie down.,node
amenity,others,amenity,marketplace,A marketplace where goods and services are traded daily or weekly.,node / area
amenity,others,amenity,monastery,Monastery is the location of a monastery or a building in which monks and nuns live.,node / area
amenity,others,amenity,mortuary,"A morgue or funeral home, used for the storage of human corpses.",node / area
amenity,others,amenity,photo_booth,A stand to create instant photos.,node
amenity,others,amenity,place_of_mourning,"A room or building where families and friends can come, before the funeral, and view the body of the person who has died.",node / area
