Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
bbq;3;amenity;facilities;bbq;"BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood;electric;charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping campfires and firepits, instead use the tag leisure=firepit.";node
bench;3;amenity;facilities;bench;A bench to sit down and relax a bit;node
dog toilet;3;amenity;facilities;dog toilet;Area designated for dogs to urinate and excrete.;node / area
dressing room;3;amenity;facilities;dressing room;Area designated for changing clothes.;node / area
drinking water;3;amenity;facilities;drinking water;Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler.;node
give box;3;amenity;facilities;give box;A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.;node / area
lounge;3;amenity;facilities;lounge;A comfortable waiting area for customers, usually found in airports and other transportation hubs. Typically has extra amenities or sustenance.;node / area
mailroom;3;amenity;facilities;mailroom;A mailroom for receiving packages or letters.;node / area
parcel locker;3;amenity;facilities;parcel locker;Machine for picking up and sending parcels;node / area
shelter;3;amenity;facilities;shelter;A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*.;node / area
shower;3;amenity;facilities;shower;Public shower.;node / area
telephone;3;amenity;facilities;telephone;Public telephone;node
toilets;3;amenity;facilities;toilets;Public toilets (might require a fee);node / area
water point;3;amenity;facilities;water point;Place where you can get large amounts of drinking water;node
watering place;3;amenity;facilities;watering place;Place where water is contained and animals can drink;node
sanitary dump station;3;amenity;waste management;sanitary dump station;A place for depositing human waste from a toilet holding tank.;node / area
recycling;3;amenity;waste management;recycling;Recycling facilities (bottle banks, etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres.;node / area
waste basket;3;amenity;waste management;waste basket;A single small container for depositing garbage that is easily accessible for pedestrians.;node
waste disposal;3;amenity;waste management;waste disposal;A medium or large disposal bin, typically for bagged up household or industrial waste.;node
waste transfer station;3;amenity;waste management;waste transfer station;A waste transfer station is a location that accepts, consolidates and transfers waste in bulk.;node / area
animal boarding;3;amenity;others;animal boarding;A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays);node / area
animal breeding;3;amenity;others;animal breeding;A facility where animals are bred, usually to sell them;node / area / relation
animal shelter;3;amenity;others;animal shelter;A shelter that recovers animals in trouble;node / area
animal training;3;amenity;others;animal training;A facility used for non-competitive animal training;node / area
baking oven;3;amenity;others;baking oven;An oven used for baking bread and similar, for example inside a building=bakehouse.;node
clock;3;amenity;others;clock;A public visible clock;node
crematorium;3;amenity;others;crematorium;A place where dead human bodies are burnt;node / area
dive centre;3;amenity;others;dive centre;A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.;node / area
funeral hall;3;amenity;others;funeral hall;A place for holding a funeral ceremony, other than a place of worship.;node / area
grave yard;3;amenity;others;grave yard;A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead.;node / area
hunting stand;3;amenity;others;hunting stand;A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain;node / area
internet cafe;3;amenity;others;internet cafe;A place whose principal role is providing internet services to the public.;node / area
kitchen;3;amenity;others;kitchen;A public kitchen in a facility to use by everyone or customers;node / area
