Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
bus stop;3;highway;other highway features;bus stop;A small bus stop. Optionally one may also use public_transport=stop_position for the position where the vehicle stops and public_transport=platform for the place where passengers wait.;node
crossing;3;highway;other highway features;crossing;"A.k.a. crosswalk. Pedestrians can cross a street here; e.g., zebra crossing";node
cyclist waiting aid;3;highway;other highway features;cyclist waiting aid;Street furniture for cyclists that are intended to make waiting at esp. traffic lights more comfortable.;node
elevator;3;highway;other highway features;elevator;An elevator or lift, used to travel vertically, providing passenger and freight access between pathways at different floor levels.;node / way
emergency bay;3;highway;other highway features;emergency bay;An area beside a highway where you can safely stop your car in case of breakdown or emergency.;node / way
emergency access point;3;highway;other highway features;emergency access point;Sign number which can be used to define your current position in case of an emergency. Use with ref=NUMBER_ON_THE_SIGN. See also emergency=access_point;node
give way;3;highway;other highway features;give way;"A ""give way,"" or ""Yield"" sign";node
phone;3;emergency;highway;phone;A calling device can be used to tell on your current position in case of an emergency. Use with ref=NUMBER_ON_THE_SIGN;node
hitchhiking;3;highway;other highway features;hitchhiking;Like a bus_stop but for free, uncertain, spontaneous rides with strangers.;node
ladder;3;highway;other highway features;ladder;A vertical or inclined set of steps or rungs intended for climbing or descending of a person with the help of hands.;node / way
milestone;3;highway;other highway features;milestone;Highway location marker;node
mini roundabout;3;highway;other highway features;mini roundabout;"Similar to roundabouts, but at the center there is either a painted circle or a fully traversable island. In case of an untraversable center island, junction=roundabout should be used.
Rendered as anti-clockwise by default direction=anticlockwise. To render clockwise add the tag direction=clockwise.";node
motorway junction;3;highway;other highway features;motorway junction;Indicates a junction (UK) or exit (US). ref=* should be set to the exit number or junction identifier. (Some roads – e.g., the A14 – also carry junction numbers, so the tag may be encountered elsewhere despite its name);node
passing place;3;highway;other highway features;passing place;The location of a passing space;node
platform;3;highway;other highway features;platform;A platform at a bus stop or station.;node / way / area
rest area;3;highway;other highway features;rest area;Place where drivers can leave the road to rest, but not refuel.;node / area
services;3;highway;other highway features;services;A service station to get food and eat something, often found at motorways;node / area
speed camera;3;highway;other highway features;speed camera;A fixed road-side or overhead speed camera.;node
speed display;3;highway;other highway features;speed display;A dynamic electronic sign that displays the speed of the passer-by motorist.;node
stop;3;highway;other highway features;stop;A stop sign;node
street lamp;3;highway;other highway features;street lamp;A street light, lamppost, street lamp, light standard, or lamp standard is a raised source of light on the edge of a road, which is turned on or lit at a certain time every night;node
toll gantry;3;highway;other highway features;toll gantry;A toll gantry is a gantry suspended over a way, usually a motorway, as part of a system of electronic toll collection. For a toll booth with any kind of barrier or booth see: barrier=toll_booth;node
traffic mirror;3;highway;other highway features;traffic mirror;Mirror that reflects the traffic on one road when direct view is blocked.;node
traffic signals;3;highway;other highway features;traffic signals;Lights that control the traffic;node
trailhead;3;highway;other highway features;trailhead;Designated place to start on a trail or route;node
turning circle;3;highway;other highway features;turning circle;A turning circle is a rounded, widened area usually, but not necessarily, at the end of a road to facilitate easier turning of a vehicle. Also known as a cul de sac.;node
turning loop;3;highway;other highway features;turning loop;A widened area of a highway with a non-traversable island for turning around, often circular and at the end of a road.;node
aircraft;2;historic;aircraft;;A decommissioned aircraft which generally remains in one place.;node / area
anchor;2;historic;anchor;;A historic/retired anchor. Usually found in historic maritime areas.;node
aqueduct;2;historic;aqueduct;;A historic structure to convey water;way / area
archaeological site;2;historic;archaeological site;;A place in which evidence of past activity is preserved.;node / way / area
battlefield;2;historic;battlefield;;The site of a battle or military skirmish in the past.;node / area
bomb crater;2;historic;bomb crater;;A bomb crater;node / area
boundary stone;2;historic;boundary stone;;A historic physical marker that identifies a boundary;node
building;2;historic;building;;Unspecified historic building.;node / area
bullaun stone;2;historic;bullaun stone;;A stone with one or more depressions;node / relation
cannon;2;historic;cannon;;A historic/retired cannon. Usually found on forts or battlefields.;node
castle;2;historic;castle;;Used for various kinds of castles, palaces, fortresses, manors, stately homes, kremlins, shiros and other.;node / area
castle wall;2;historic;castle wall;;A fortification surrounding the bailey of a castle.;way / area
cattle crush;2;historic;cattle crush;;;
charcoal pile;2;historic;charcoal pile;;Historic site of a charcoal pile. Often still in good condition in hilly forest areas.;node / area
church;2;historic;church;;A church with a historical value.;node / area
city gate;2;historic;city gate;;A city gate within a city wall;node / area
citywalls;2;historic;citywalls;;A citywall is a fortification used to defend a city.;way / area
creamery;2;historic;creamery;;A creamery is an industrial building where butter and sometimes cheese or ice-cream were made from milk. For rural communities, it also served as a social gathering point.;node / area
district;2;historic;district;;A designated historic district.;node / area
epigraph;2;historic;epigraph;;A historic inscription on an object;node / way / area
farm;2;historic;farm;;A historical farm, kept in its original state.;node / area
fort;2;historic;fort;;A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence.;node / area
gallows;2;historic;gallows;;Remains of a gallows.;node / area
house;2;historic;house;;A historic house.;node / area
high cross;2;historic;high cross;;An early medieaval standing cross, richly decorated, often with a ring surrounding the crossing point.;node
highwater mark;2;historic;highwater mark;;A marker indicating a past flood or high water.;node
lavoir;2;historic;lavoir;;A disused lavoir mapped for its historical value.;node / area
lime kiln;2;historic;lime kiln;;Built structure which was used in the past to produce quicklime from limestone.;node / area
locomotive;2;historic;locomotive;;A decommissioned locomotive which generally remains in one place;node / area
machine;2;historic;machine;;A historic machine.;node / area
manor;2;historic;manor;;Historic manors/mansions having different use today;node / area
memorial;2;historic;memorial;;Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places.;node / area
milestone;2;historic;milestone;;A historic marker that shows the distance to important destinations.;node
millstone;2;historic;millstone;;A large round stone used for grinding grain or other materials.;node
mine;2;historic;mine;;Location of historic underground mine workings for minerals such as coal or lead.;node / area
minecart;2;historic;minecart;;A cart used to transport coal or ore from a mine.;node / area
monastery;2;historic;monastery;;Building/place that is a historically significant monastery.;node / area
monument;2;historic;monument;;A memorial object, which is especially large, built to remember, show respect to a person or group of people or to commemorate an event.;node / area
mosque;2;historic;mosque;;A mosque with a historical and archaeological value.;node / area
ogham stone;2;historic;ogham stone;;A stone with an Ogham script on it. They are most commonly found in Ireland as free standing stones, lying on the ground, recycled in buildings such as churches or as artefacts in museums.;node
optical telegraph;2;historic;optical telegraph;;Semaphore system;node / area
pa;2;historic;pa;;A New Zealand Maori Pā;
pillory;2;historic;pillory;;A pillory.;node
pound;2;historic;pound;;A former amenity to hold stray or seized animals, often walled.;node / area
railway car;2;historic;railway car;;A decommissioned railway car which generally remains in one place;node / area
road;2;historic;road;;A road or street that is of historical importance.;way
round tower;2;historic;round tower;;Slim, conical tower built as a bell tower and watchtower in Ireland.;node / area / relation
ruins;2;historic;ruins;;Remains of structures that were once complete, but have fallen into partial or complete disrepair.;node / way / area
rune stone;2;historic;rune stone;;Stones, boulders or bedrock with historical runic inscriptions.;node
shieling;2;historic;shieling;;An abandoned mountain pasture;node / area
ship;2;historic;ship;;A decommissioned ship/submarine which generally remains in one place;node / area
stećak;2;historic;stećak;;Specifies megalithic gravestone from medieval Bosnia.;node / area
stone;2;historic;stone;;A stone shaped or placed by man with historical value.;node
tank;2;historic;tank;;A decommissioned tank which generally remains in one place;node / area
temple;2;historic;temple;;An ancient pagan temple in_situ and in various degree of preservation, such as Ziggurat, Egyptian temple, Mithraeum, Erechtheion, Buddhist, Meso-American and other ancient religious and rituals' temples, with a historical and archaeological value.;node / area
tomb;2;historic;tomb;;A structure where somebody has been buried.;node / area
tower;2;historic;tower;;This property distinguishes a tower as historic;node / area
vehicle;2;historic;vehicle;;A decommissioned vehicle which generally remains in one place;node / area
wayside cross;2;historic;wayside cross;;A historical cross along a way, symbol of Christian faith.;node
wayside shrine;2;historic;wayside shrine;;A shrine often showing a religious depiction. Tag is used also for modern shrines.;node / area
wreck;2;historic;wreck;;A nautical craft that has been sunk or destroyed.;node / area
commercial;3;landuse;common landuse key values - developed land;commercial;Predominantly commercial businesses and their offices. Commercial businesses which sell goods should be categorised as landuse=retail. Commercial businesses can sell services on site and may include private Doctor's Surgeries, and those non-government services for mental and physical health, such as a Counselor's or Physiotherapist's practice or Veterinary. Commercial businesses can also include office buildings and business parks which have limited interface with the public and sell their services either on site, or externally. Commercial businesses have low amounts of public foot traffic.;node / area
construction;3;landuse;common landuse key values - developed land;construction;A site which is under active development and construction of a building or structure, including any purposeful alteration to the land or vegetation upon it. Abandoned construction projects and sites should not use this tag.;node / area
education;3;landuse;common landuse key values - developed land;education;An area predominately used for educational purposes/facilities.;node / area
fairground;3;landuse;common landuse key values - developed land;fairground;A site where a fair takes place;node / area
industrial;3;landuse;common landuse key values - developed land;industrial;Predominantly industrial landuses such as workshops, factories, or warehouses.;node / area
residential;3;landuse;common landuse key values - developed land;residential;"Land where people reside; predominantly residential detached (single houses, grouped dwellings), or attached (apartments, flats, units) dwellings. For ""Mixed-Use"" areas where more than half of the land is residential, tag as residential.
See also: Land use and areas of natural land#Open questions and Land use and areas of natural land § Open questions";node / area
retail;3;landuse;common landuse key values - developed land;retail;"Predominantly retail businesses such as shops. Retail businesses sell physical goods such as food (prepared or grocery), clothing, medicine, stationary, appliances, tools, or other similar physical items. Retail businesses have high amounts of public foot traffic. Retail businesses do not exclusively provide or sell their services. For businesses which sell services see landuse=commercial.
Generally a member of the public could freely walk into and access a retail business. Retail is a subset of commercial, but should be used and treated as mutually exclusive in OpenStreetMap.";node / area
institutional;3;landuse;common landuse key values - developed land;institutional;"Land used for institutional purposes, see Institution (disambiguation). Institutional land may contain one or more buildings like an office=government, office=ngo, office=association, amenity=social_facility and their associated infrastructure (car parks, service roads, yards and so-on) inside the area.
The meaning of this tag is ambiguous and unclear by some. Consider using another tag that better describes the object. For instance landuse=civic_admin.";node / area
aquaculture;3;landuse;common landuse key values - rural and agricultural land;aquaculture;"Aquaculture is the farming of freshwater and saltwater organisms such as finfish, molluscs, crustaceans and aquatic plants.
Warning: currently, there is no convention on the exact meaning of this tag. Therefore, it makes sense to treat it like ""boundary of aquaculture"" (without implication of water body), which means, water body should be tagged by its own, using natural=water etc.";node / area
allotments;3;landuse;common landuse key values - rural and agricultural land;allotments;A piece of land given over to local residents for growing vegetables and flowers.;node / area
farmland;3;landuse;common landuse key values - rural and agricultural land;farmland;An area of farmland used for tillage (cereals, vegetables, oil plants, flowers).;area
farmyard;3;landuse;common landuse key values - rural and agricultural land;farmyard;An area of land with farm buildings like farmhouse, dwellings, farmsteads, sheds, stables, barns, equipment sheds, feed bunkers, etc. plus the open space in between them and the shrubbery/trees around them.;area
paddy;3;landuse;common landuse key values - rural and agricultural land;paddy;An area of land where the surface and shape of the land is made suitable for growing rice.;area
animal keeping;3;landuse;common landuse key values - rural and agricultural land;animal keeping;An area of land that is used to keep animals, particularly horses and livestock.;area
flowerbed;3;landuse;common landuse key values - rural and agricultural land;flowerbed;An area designated for flowers;area
forest;3;landuse;common landuse key values - rural and agricultural land;forest;Managed forest or woodland plantation (Other languages). Some use this to map an area of trees rather than the use of the land. See Forest.;node / area
logging;3;landuse;common landuse key values - rural and agricultural land;logging;An area where some or all trees have been cut down;area
greenhouse horticulture;3;landuse;common landuse key values - rural and agricultural land;greenhouse horticulture;Area used for growing plants in greenhouses;area
meadow;3;landuse;common landuse key values - rural and agricultural land;meadow;A meadow or pasture: land primarily vegetated by grass and non-woody plants, mainly used for hay or grazing;node / area
orchard;3;landuse;common landuse key values - rural and agricultural land;orchard;intentional planting of trees or shrubs maintained for food production;node / area
plant nursery;3;landuse;common landuse key values - rural and agricultural land;plant nursery;intentional planting of plants maintaining for the production of new plants;area
vineyard;3;landuse;common landuse key values - rural and agricultural land;vineyard;A piece of land where grapes are grown.;node / area
basin;3;landuse;common landuse key values - waterbody;basin;"An area artificially graded to hold water.
Together with basin=* for stormwater/rainwater infiltration/detention/retention basins.
Other languages.";node / area
salt pond;3;landuse;common landuse key values - waterbody;salt pond;A place where salt (saline) water is evaporated to extract its salt.;area
brownfield;3;landuse;other landuse key values;brownfield;Describes land scheduled for new development where old buildings have been demolished and cleared;node / area
cemetery;3;landuse;other landuse key values;cemetery;Place for burials. You can add religion=* (values listed in the place of worship page). Smaller places (e.g. with a church nearby) may use amenity=grave_yard instead.;node / area
depot;3;landuse;other landuse key values;depot;An area used as a depot for e.g. vehicles (trains, buses or trams). Consider using rather standard landuse tags like landuse=railway, landuse=commercial, landuse=industrial, with subtag like industrial=depot.;area
garages;3;landuse;other landuse key values;garages;One level buildings with boxes commonly for cars, usually made of brick and metal. Usually this area belong to garage cooperative with own name, chairman, budget, rules, security, etc.;area
grass;3;landuse;other landuse key values;grass;An area of mown and managed grass not otherwise covered by a more specific tag. Some view this as not a landuse, see the main page landuse=grass for discussion.;node / area
greenfield;3;landuse;other landuse key values;greenfield;Describes land scheduled for new development where there have been no buildings before. A greenfield is scheduled to turn into a construction site;node / area
landfill;3;landuse;other landuse key values;landfill;Place where waste is dumped.;node / area
military;3;landuse;other landuse key values;military;For land areas owned/used by the military for whatever purpose;node / area
port;3;landuse;other landuse key values;port;coastal industrial area where commercial traffic is handled. Consider using landuse=industrial + industrial=port for this type of industrial area.;area
quarry;3;landuse;other landuse key values;quarry;Surface mineral extraction;node / area
railway;3;landuse;other landuse key values;railway;Area for railway use;area
recreation ground;3;landuse;other landuse key values;recreation ground;An open green space for general recreation, which may include pitches, nets and so on, usually municipal but possibly also private to colleges or companies;node / area
religious;3;landuse;other landuse key values;religious;An area used for religious purposes;node / area
village green;3;landuse;other landuse key values;village green;A village green is a distinctive area of grassy public land in a village centre. Not a generic tag for urban greenery. It is a typical English term – defined separately from 'common land' under the Commons Registration Act 1965 and the Commons Act 2006.;node / area
greenery;3;landuse;other landuse key values;greenery;Used for any area covered with landscaping or decorative greenery, regardless of it being on a roundabout, along a street or in a park/garden, This tag has been used for vegetation that is hard to classify, either because its kind or because its diversity.;area
winter sports;3;landuse;other landuse key values;winter sports;An area dedicated to winter sports (e.g. skiing);node / area
adult gaming centre;2;leisure;adult gaming centre;;A venue with gambling machines, usually with a minimum age requirement.;node / area
amusement arcade;2;leisure;amusement arcade;;A venue with pay-to-play games.;node / area
beach resort;2;leisure;beach resort;;A managed beach, including within the boundary any associated facilities. Entry may also require payment of a fee.;node / area
bandstand;2;leisure;bandstand;;A bandstand is an open structure where musical bands can perform concerts.;node / area
bird hide;2;leisure;bird hide;;A place that is used to observe wildlife, especially birds.;node / area
common;2;leisure;common;;Identify land over which the public has general rights of use for certain leisure activities.;node / area
dance;2;leisure;dance;;A dance venue or dance hall.;node / area
disc golf course;2;leisure;disc golf course;;A place to play disc golf.;node / area
dog park;2;leisure;dog park;;A designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained.;node / area
escape game;2;leisure;escape game;;A physical adventure game in which players solve a series of puzzles using clues, hints and strategy to complete the objectives at hand.;node / area
firepit;2;leisure;firepit;;A fire ring or fire pit, often at a campsite or picnic site.;node / area
fishing;2;leisure;fishing;;A public or private place for fishing.;node / area
fitness centre;2;leisure;fitness centre;;Fitness centre, health club or gym with exercise machines, fitness classes or both, for exercise.;node / area
fitness station;2;leisure;fitness station;;An outdoor facility where people can practise typical fitness exercises.;node / area
garden;2;leisure;garden;;A place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.;node / area
hackerspace;2;leisure;hackerspace;;A place where people with common interests (science, technology, ...) meet.;node / area
horse riding;2;leisure;horse riding;;A facility where people practise horse riding, usually in their spare time, e.g. a riding centre. For a riding arena use leisure=pitch + sport=equestrian.;node / area
ice rink;2;leisure;ice rink;;A place where you can skate and play bandy or ice hockey.;node / area
marina;2;leisure;marina;;A facility for mooring leisure yachts and motor boats.;node / area
miniature golf;2;leisure;miniature golf;;A place or area where you can play miniature golf.;node / area
nature reserve;2;leisure;nature reserve;;A protected area of importance for wildlife, flora, fauna or features of geological or other special interest.;node / area
park;2;leisure;park;;A park, usually in an urban (municipal) setting, created for recreation and relaxation.;node / area
picnic table;2;leisure;picnic table;;A table with benches for food and rest.;node / area
pitch;2;leisure;pitch;;An area designed for practising a particular sport, normally designated with appropriate markings.;node / area
playground;2;leisure;playground;;A playground: an area designed for children to play.;node / area
slipway;2;leisure;slipway;;A slipway: a ramp for launching a boat into water.;node / area
sports centre;2;leisure;sports centre;;A sports centre is a distinct facility where sports take place within an enclosed area.;node / area
stadium;2;leisure;stadium;;A major sports facility with substantial tiered seating.;node / area
summer camp;2;leisure;summer camp;;A place for supervised camps for children or teenagers conducted during the summer months.;node / area
swimming area;2;leisure;swimming area;;An area for swimming within a larger body of water (such as a river, lake or the sea) that is marked by a rope, buoys or similar.;node / area
swimming pool;2;leisure;swimming pool;;A swimming pool (water area only).;node / area
track;2;leisure;track;;A track for running, cycling and other non-motorised racing such as horses, greyhounds.;node / area
water park;2;leisure;water park;;An amusement park with features like water slides, recreational pools (e.g. wave pools) or lazy rivers.;node / area
adit;3;man made;man made;adit;A type of entrance to an underground mine which is horizontal or nearly horizontal.;node
beacon;3;man made;man made;beacon;A structure for signalling on land and sea;node / area
breakwater;3;man made;man made;breakwater;A man-made structure designed to protect a shore or harbour from the sea and waves.;way / area
bridge;3;man made;man made;bridge;The outline of a bridge, grouping together all features for that bridge.;area
bunker silo;3;man made;man made;bunker silo;An open-sided structure without a roof that can be used with vehicles to fill and empty them;node / area
carpet hanger;3;man made;man made;carpet hanger;A construction to hang carpets for cleaning with the help of carpet beaters.;node / way
chimney;3;man made;man made;chimney;A tall distinctive vertical conduit for venting hot gases or smoke, normally found near power stations or large factories.;node / area
column;3;man made;man made;column;A column used to support a structure or for decoration.;node / area
communications tower;3;man made;man made;communications tower;A huge tower for transmitting radio applications;node / area
crane;3;man made;man made;crane;A stationary, permanent crane.;node / area
cross;3;man made;man made;cross;Cross, especially one with little historical value;node
cutline;3;man made;man made;cutline;A straight line cut in a forest.;way
clearcut;3;man made;man made;clearcut;An area where all trees have been uniformly cut down.;area
dovecote;3;man made;man made;dovecote;A place where doves are farmed or stored.;node / area
dyke;3;man made;man made;dyke;An embankment built to restrict the flow of water or other liquids;way
embankment;3;man made;man made;embankment;An artificial steep slope. Lower side to right (arrows side).;way
flagpole;3;man made;man made;flagpole;A long pole built to hold a flag;node
gasometer;3;man made;man made;gasometer;A large container in which natural gas or town gas is stored near atmospheric pressure at ambient temperatures;node / area
goods conveyor;3;man made;man made;goods conveyor;A conveyor system for transporting materials;way
groyne;3;man made;man made;groyne;A rigid structure built from a shoreline or riverbank that interrupts water flow and limits the movement of sediment.;way / area
guard stone;3;man made;man made;guard stone;A guard stone: a stone built onto or into the corner of a building or wall to prevent carriages from damaging the structure, often found on either side of an entrance to a laneway, or alongside a wall to protect it.;node
kiln;3;man made;man made;kiln;A thermally insulated chamber used for processes such as burning, hardening, drying, or smelting.;node / area
lighthouse;3;man made;man made;lighthouse;Tower that emits light to serve as a navigational aid at sea or on inland waterway;node / area
mast;3;man made;man made;mast;A mast is a vertical structure built to hold, for example, antennas.;node
mineshaft;3;man made;man made;mineshaft;A vertical tunnel into a mine where minerals are extracted.;node / area
monitoring station;3;man made;man made;monitoring station;A station that monitors something.;node / area
obelisk;3;man made;man made;obelisk;Tall, narrow, four-sided, tapered monument which usually ends in a pyramid-like shape at the top.;node / area
observatory;3;man made;man made;observatory;Observatory: a location used for observing terrestrial or celestial events.;node / area
offshore platform;3;man made;man made;offshore platform;Offshore platform, oil platform or offshore drilling rig;node / area
petroleum well;3;man made;man made;petroleum well;A hole bored in the earth, designed to bring petroleum oil or gas to the surface;node
pier;3;man made;man made;pier;A pier is a raised walkway over water, supported by widely spread piles or pillars.;way / area
pipeline;3;man made;man made;pipeline;A major pipeline carrying gas, water, oil, etc.;way
reservoir covered;3;man made;man made;reservoir covered;A covered reservoir is a large man-made tank for holding fresh water;node / area
sewer vent;3;man made;man made;sewer vent;Used to map sewer vent pipes.;node
silo;3;man made;man made;silo;A storage container for bulk material, often grains such as corn or wheat.;node / area
snow fence;3;man made;man made;snow fence;A fence-like structure built to redirect drifting snow.;way
snow net;3;man made;man made;snow net;A netting fence built across steep slopes to reduce risk and severity of (snow) avalanches;node / way
storage tank;3;man made;man made;storage tank;A container that holds liquids or compressed gases.;node / area
street cabinet;3;man made;man made;street cabinet;A cabinet located in the street and hosting technical equipment to operate facilities such as electricity or street lights.;node / area
stupa;3;man made;man made;stupa;A Buddhist dome-shaped structure with a spire on top.;node / area
surveillance;3;man made;man made;surveillance;A surveillance camera or other type of surveillance equipment.;node
survey point;3;man made;man made;survey point;A triangulation pillar, geodetic vertex, or other piece of fixed equipment used by topographers.;node
tailings pond;3;man made;man made;tailings pond;A body of liquid or slurry used to store byproducts of mining operations.;area
telescope;3;man made;man made;telescope;Telescope: an instrument that aids in the observation of remote objects by collecting light or radio waves;node / area
tower;3;man made;man made;tower;A tower is a free-standing structure which is higher than it is wide.;node / area
video wall;3;man made;man made;video wall;A digital screen, typically constructed out of smaller LED panels.;node / way
wastewater plant;3;man made;man made;wastewater plant;A wastewater plant is a facility used to treat wastewater.;node / area
watermill;3;man made;man made;watermill;A mill driven by water power.;node / area
water tower;3;man made;man made;water tower;Structure with a water tank at an altitude to increase pressure in water network;node / area
water well;3;man made;man made;water well;A structural facility to access ground water, created by digging or drilling.;node / area
water tap;3;man made;man made;water tap;Publicly usable water tap;node
water works;3;man made;man made;water works;A facility where water is treated to make it suitable for human consumption.;node / area
wildlife crossing;3;man made;man made;wildlife crossing;Structure that allow animals to cross human barriers safely.;way / area
windmill;3;man made;man made;windmill;A traditional windmill, historically used to mill grain with wind power.;node / area
works;3;man made;man made;works;A factory or industrial production plant.;node / area
academy;2;military;academy;;A training establishment for military service members;node / area
airfield;2;military;airfield;;A place where military planes take off and land.;node / area
base;2;military;base;;A facility where military personnel and equipment are based.;node / area
bunker;2;military;bunker;;A building reinforced to withstand attack;node / area
barracks;2;military;barracks;;Buildings where military personnel live and sleep.;node / area
checkpoint;2;military;checkpoint;;Place where civilian visitors and vehicles will be checked by a military authority.;node
danger area;2;military;danger area;;A danger area is a restricted area posing a threat to life or property.;node / area
nuclear explosion site;2;military;nuclear explosion site;;Nuclear weapons test site;node / area
obstacle course;2;military;obstacle course;;A military obstacle course: a series of challenging physical obstructions an individual or team must navigate usually while being timed.;way / area
office;2;military;office;;Military offices, e.g. general staff office, military recruitment office etc;node / area
range;2;military;range;;Where military personnel practice with their weapons (firing, bombing, artillery, ...).;node / area
school;2;military;school;;A school for children run as part of a country's military;node / area
training area;2;military;training area;;A military training area/proving ground;area
trench;2;military;trench;;A military trench is an excavation in the ground that is generally deeper than it is wide, dug into the ground as a barrier for military purposes (e.g. trench warfare).;node / way
fell;3;natural;vegetation;fell;Habitat above tree line covered with grass, dwarf shrubs and mosses.;node / area
grassland;3;natural;vegetation;grassland;An area where the vegetation is dominated by grasses and other herbaceous (non-woody) plants.;area
heath;3;natural;vegetation;heath;A dwarf-shrub habitat, characterised by open, low growing woody vegetation, often dominated by plants of the Ericaceae.;area
moor;3;natural;vegetation;moor;Don't use, see wikipage;
scrub;3;natural;vegetation;scrub;Uncultivated land covered with shrubs, bushes or stunted trees.;node / area
shrubbery;3;natural;vegetation;shrubbery;An area of woody shrubbery that is actively maintained or pruned by humans. A slightly wilder look is also possible.;area
tree;3;natural;vegetation;tree;A single tree.;node
tree row;3;natural;vegetation;tree row;A line of trees.;way
tundra;3;natural;vegetation;tundra;Treeless cold climate habitat with open, low growing sedges, grasses, mosses and lichens.;area
wood;3;natural;vegetation;wood;Tree-covered area (a 'forest' or 'wood');node / area
bay;3;natural;water related;bay;Named area of water mostly surrounded by land but with level connection to the ocean or a lake.;node / way / area
beach;3;natural;water related;beach;Landform along a body of water which consists of sand, shingle or other loose material.;node / area
blowhole;3;natural;water related;blowhole;An opening to a sea cave which has grown landwards resulting in blasts of water from the opening due to the wave action.;node / area
cape;3;natural;water related;cape;A piece of elevated land sticking out into the sea or large lake.;node
coastline;3;natural;water related;coastline;The line between sea and land indicating mean high water (springs): the water lies on the right side of the way.;way
crevasse;3;natural;water related;crevasse;A large crack in a glacier;way / area
geyser;3;natural;water related;geyser;A spring characterized by intermittent discharge of water ejected turbulently and accompanied by steam;node
glacier;3;natural;water related;glacier;A permanent body of ice formed naturally from snow that is moving under its own weight.;node / area
hot spring;3;natural;water related;hot spring;A spring of geothermally heated groundwater;node / area
isthmus;3;natural;water related;isthmus;A narrow strip of land, bordered by water on both sides and connecting two larger land masses;node / area
mud;3;natural;water related;mud;Area covered with mud: water saturated fine grained soil without significant plant growth.;area
peninsula;3;natural;water related;peninsula;A piece of land projecting into water from a larger land mass, nearly surrounded by water;node / area
reef;3;natural;water related;reef;A feature (rock, sandbar, coral, etc) lying permanently beneath the surface of the water.;node / way / area
shingle;3;natural;water related;shingle;An accumulation of rounded rock fragments on a beach or riverbed.;area
shoal;3;natural;water related;shoal;An area of the water floor which nears the water surface and is exposed at low tide or when a river/lake is not full of water.;area
spring;3;natural;water related;spring;A place where ground water flows naturally from the ground;node / area
strait;3;natural;water related;strait;A narrow area of water surrounded by land on two sides and by water on two other sides.;node / way / area
water;3;natural;water related;water;Any inland body of water, from natural such as a lake or pond to artificial like a moat or canal.;node / area
wetland;3;natural;water related;wetland;A natural area subject to inundation or with waterlogged ground;area
arch;3;natural;geology related;arch;A rock arch naturally formed by erosion, with an opening underneath.;node / way / area
arete;3;natural;geology related;arete;A thin, almost knife-like, ridge of rock which is typically formed when two glaciers erode parallel U-shaped valleys;way
bare rock;3;natural;geology related;bare rock;An area with sparse or no vegetation, so that the bedrock becomes visible;area
blockfield;3;natural;geology related;blockfield;An area covered by boulder- or block-sized rocks.;area
cave entrance;3;natural;geology related;cave entrance;An entrance to a cave: a natural underground space large enough for a human to enter;node / area
cliff;3;natural;geology related;cliff;A vertical or almost vertical natural drop in terrain, usually with a bare rock surface. The bottom of the cliff is on the right side of the way.;node / way
dune;3;natural;geology related;dune;A hill of sand formed by wind, covered with no or very little vegetation;node / way / area
earth bank;3;natural;geology related;earth bank;Large erosion gully or steep earth bank.;way
fumarole;3;natural;geology related;fumarole;A fumarole is an opening in a planet's crust, which emits steam and gases;node / area
hill;3;natural;geology related;hill;A hill is a landform that is elevated above the surrounding terrain, but is smaller than a mountain.;node / area
peak;3;natural;geology related;peak;The top (summit) of a hill or mountain.;node
ridge;3;natural;geology related;ridge;A mountain landform with a continuous elevated crest or linear hill;way
rock;3;natural;geology related;rock;A notable rock or group of rocks attached to the underlying bedrock;node / area
saddle;3;natural;geology related;saddle;The lowest point along a ridge or between two mountain tops.;node
sand;3;natural;geology related;sand;An area covered by sand with no or very little vegetation.;area
scree;3;natural;geology related;scree;Unconsolidated angular stones formed by rockfall and weathering from adjacent rock faces.;area
sinkhole;3;natural;geology related;sinkhole;A natural depression or hole in the surface topography.;node / area
stone;3;natural;geology related;stone;A single notable freestanding rock, which may differ from the composition of the terrain it lies in.;node / area
valley;3;natural;geology related;valley;A natural depression flanked by ridges or ranges of mountains or hills;node / way
volcano;3;natural;geology related;volcano;An opening exposed on the earth's surface where volcanic material is emitted.;node
accountant;2;office;accountant;;An office for an accountant.;node / area
advertising agency;2;office;advertising agency;;A service-based business dedicated to creating, planning, and handling advertising.;node / area
airline;2;office;airline;;An office for an airline company.;node / area
architect;2;office;architect;;An office for an architect or group of architects.;node / area
association;2;office;association;;An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc.;node / area
broadcaster;2;office;broadcaster;;A radio or television broadcasting station.;node / area
chamber;2;office;chamber;;Seat of a professional chamber, such as bar associations or chambers of commerce.;node / area
charity;2;office;charity;;An office of a charitable organization;node / area
company;2;office;company;;An office of a private company.;node / area
construction company;2;office;construction company;;An office of a building construction company.;node / area
consulting;2;office;consulting;;An office for a consulting firm, providing expert professional advice to other companies or organisations.;node / area
courier;2;office;courier;;A courier delivery service, which is neither a post office nor a national post.;node / area
